n, Time(ns)
0,641
100,1410
200,2116
300,2821
400,3526
500,6699
600,5641
700,5994
800,7052
900,8110
1000,8815
1100,9873
1200,10578
1300,13752
1400,20099
1500,19746
1600,24331
1700,21509
1800,27504
1900,17278
2000,17631
2100,18337
2200,19394
2300,20099
2400,21157
2500,21862
2600,22920
2700,23625
2800,24683
2900,25389
3000,26446
3100,30678
3200,28209
3300,28915
3400,30325
3500,44077
3600,51834
3700,59239
3800,51130
3900,14105
4000,17631
4100,17631
4200,20804
4300,16573
4400,17631
4500,8463
4600,15515
4700,10579
4800,8815
4900,9521
5000,8816
5100,9168
5200,9521
5300,9521
5400,9873
5500,10226
5600,9873
5700,10579
5800,10579
5900,10578
6000,10931
6100,11284
6200,11284
6300,11283
6400,11636
6500,11989
6600,11988
6700,12341
6800,11989
6900,12694
7000,12694
7100,13047
7200,13047
7300,13399
7400,13399
7500,13752
7600,13752
7700,13752
7800,14104
7900,14105
8000,14810
8100,14457
8200,17278
8300,15163
8400,15163
8500,15163
8600,15516
8700,16220
8800,15868
8900,16220
9000,16573
9100,16220
9200,16926
9300,16925
9400,16926
9500,17278
9600,17631
9700,17631
9800,17631
9900,17983
10000,17984
10100,18336
10200,18336
10300,18689
10400,18689
10500,19394
10600,19041
10700,89918
10800,62414
10900,56419
11000,57124
11100,56419
11200,101906
11300,59592
11400,62766
11500,57829
11600,59239
11700,57477
11800,58887
11900,58535
12000,58534
12100,57124
12200,58534
12300,57829
12400,54656
12500,58535
12600,56771
12700,60297
12800,62413
12900,57476
13000,59592
13100,58887
13200,56066
13300,57829
13400,54303
13500,3879
13600,4231
13700,4231
13800,4231
13900,4584
14000,4232
14100,4232
14200,4231
14300,4232
14400,4584
14500,4231
14600,4231
14700,4584
14800,4231
14900,4232
15000,4232
15100,4231
15200,4584
15300,4584
15400,4584
15500,4232
15600,4584
15700,4584
15800,4937
15900,4584
16000,4584
16100,4937
16200,4584
16300,4936
16400,4584
16500,4937
16600,4584
16700,4937
16800,4937
16900,4937
17000,4937
17100,4937
17200,4936
17300,4937
17400,4937
17500,4937
17600,4937
17700,5289
17800,5289
17900,5289
18000,5289
18100,5290
18200,5289
18300,5289
18400,5289
18500,5290
18600,5289
18700,5642
18800,5641
18900,5289
19000,5642
19100,5642
19200,5290
19300,5642
19400,5642
19500,5642
19600,5995
19700,5642
19800,5642
19900,5994
20000,5994
20100,5641
20200,5994
20300,5994
20400,5994
20500,5994
20600,5995
20700,5995
20800,6348
20900,8463
21000,6347
21100,5995
21200,6347
21300,6347
21400,6347
21500,6347
21600,6347
21700,6347
21800,8111
21900,6347
22000,6347
22100,6347
22200,6700
22300,6348
22400,6347
22500,6347
22600,6347
22700,6347
22800,6700
22900,6699
23000,6700
23100,6700
23200,7053
23300,6700
23400,7053
23500,6700
23600,7053
23700,6700
23800,7052
23900,6699
24000,7052
24100,7052
24200,7053
24300,7052
24400,7052
24500,7052
24600,7405
24700,7052
24800,7405
24900,7405
25000,7052
25100,7404
25200,7405
25300,7405
25400,7405
25500,15162
25600,9521
25700,7405
25800,7405
25900,7405
26000,7758
26100,7758
26200,7758
26300,7758
26400,7757
26500,7758
26600,7757
26700,8110
26800,7757
26900,8110
27000,8110
27100,7757
27200,8110
27300,8110
27400,8110
27500,8111
27600,8110
27700,8111
27800,8110
27900,8110
28000,8110
28100,8110
28200,8110
28300,8463
28400,10225
28500,8463
28600,8463
28700,8463
28800,8110
28900,8111
29000,8462
29100,8463
29200,8463
29300,8463
29400,8463
29500,8463
29600,8463
29700,8816
29800,8816
29900,8816
30000,8462
30100,8815
30200,9168
30300,8815
30400,9168
30500,8816
30600,8816
30700,9168
30800,9168
30900,9521
31000,8816
31100,9168
31200,9168
31300,8815
31400,9168
31500,8816
31600,14810
31700,9168
31800,9168
31900,9168
32000,9520
32100,9168
32200,9168
32300,9521
32400,9521
32500,9521
32600,9521
32700,9168
32800,9521
32900,9521
33000,9520
33100,9521
33200,9874
33300,9520
33400,9520
33500,9520
33600,9521
33700,9521
33800,9873
33900,9874
34000,9874
34100,9873
34200,9874
34300,9874
34400,10225
34500,10226
34600,9873
34700,9874
34800,10226
34900,9874
35000,9873
35100,10226
35200,10225
35300,10226
35400,10226
35500,10226
35600,10226
35700,10579
35800,10226
35900,10226
36000,10226
36100,10225
36200,10226
36300,10579
36400,10579
36500,10579
36600,10579
36700,10226
36800,10578
36900,11637
37000,10931
37100,10931
37200,10578
37300,10931
37400,10931
37500,10931
37600,10931
37700,10931
37800,11283
37900,11284
38000,10931
38100,10932
38200,10931
38300,13752
38400,11284
38500,11284
38600,11284
38700,11284
38800,11637
38900,11284
39000,11284
39100,11284
39200,11284
39300,11284
39400,11637
39500,11636
39600,11284
39700,13752
39800,11636
39900,11283
40000,11636
40100,11636
40200,13752
40300,11989
40400,11637
40500,11637
40600,11636
40700,11636
40800,11989
40900,12342
41000,11989
41100,11989
41200,11989
41300,11989
41400,11989
41500,11989
41600,11989
41700,11989
41800,11988
41900,11989
42000,11989
42100,12341
42200,12342
42300,12342
42400,12342
42500,12341
42600,12341
42700,12341
42800,12341
42900,12341
43000,12694
43100,12342
43200,12342
43300,12341
43400,12694
43500,12694
43600,12695
43700,12694
43800,12694
43900,12695
44000,12694
44100,12694
44200,13047
44300,12694
44400,12694
44500,13047
44600,12694
44700,13400
44800,13399
44900,12694
45000,13047
45100,13046
45200,13047
45300,13047
45400,13047
45500,13047
45600,13399
45700,13752
45800,13400
45900,13752
46000,13752
46100,13400
46200,14105
46300,13752
46400,13752
46500,13752
46600,13400
46700,15868
46800,13399
46900,13752
47000,13400
47100,13752
47200,13752
47300,13752
47400,13752
47500,13752
47600,13752
47700,13752
47800,13752
47900,14105
48000,13752
48100,14105
48200,14105
48300,14105
48400,14104
48500,13752
48600,14105
48700,14105
48800,14104
48900,14104
49000,14457
49100,14457
49200,14457
49300,14458
49400,14457
49500,14810
49600,14810
49700,14457
49800,14457
49900,14457
50000,15163
50100,14457
50200,14810
50300,14810
50400,14810
50500,14458
50600,14810
50700,14810
50800,14810
50900,15163
51000,14810
51100,17983
51200,15162
51300,14810
51400,14810
51500,14810
51600,14810
51700,14810
51800,15163
51900,15163
52000,15515
52100,15515
52200,15162
52300,15516
52400,15163
52500,15163
52600,20804
52700,16573
52800,15515
52900,15162
53000,15162
53100,15515
53200,15515
53300,15163
53400,15515
53500,15515
53600,17983
53700,15515
53800,15516
53900,15515
54000,15515
54100,15515
54200,15515
54300,15515
54400,15515
54500,15868
54600,16221
54700,15868
54800,15868
54900,15867
55000,15867
55100,16220
55200,15868
55300,15868
55400,15867
55500,16220
55600,16220
55700,16220
55800,16221
55900,16221
56000,16220
56100,16220
56200,16220
56300,16220
56400,16220
56500,16573
56600,16220
56700,16220
56800,16573
56900,16573
57000,16573
57100,16573
57200,16573
57300,16221
57400,16573
57500,16573
57600,16573
57700,16573
57800,16573
57900,16925
58000,16573
58100,22215
58200,16925
58300,16925
58400,16925
58500,16926
58600,16926
58700,16925
58800,16926
58900,16926
59000,16926
59100,16925
59200,17278
59300,16926
59400,17278
59500,16925
59600,17278
59700,17631
59800,17278
59900,17278
60000,17279
60100,17631
60200,17279
60300,17278
60400,17278
60500,17278
60600,17631
60700,17984
60800,17984
60900,21862
61000,17983
61100,17631
61200,17631
61300,17630
61400,17630
61500,17631
61600,17984
61700,17984
61800,18336
61900,17631
62000,17983
62100,17984
62200,18336
62300,18336
62400,18336
62500,17984
62600,18336
62700,18336
62800,17984
62900,18688
63000,18336
63100,18336
63200,18337
63300,18336
63400,18336
63500,18688
63600,18689
63700,18688
63800,18689
63900,18336
64000,19041
64100,18689
64200,18689
64300,18336
64400,18336
64500,18689
64600,18688
64700,21157
64800,18688
64900,19041
65000,18689
65100,19041
65200,19042
65300,19041
65400,19041
65500,19041
65600,21510
65700,19041
65800,19042
65900,19041
66000,19041
66100,19041
66200,19042
66300,19041
66400,19041
66500,19394
66600,19041
66700,19042
66800,19394
66900,19394
67000,21862
67100,19747
67200,19394
67300,19394
67400,19394
67500,19747
67600,19394
67700,19394
67800,19747
67900,19394
68000,19747
68100,19747
68200,19394
68300,19394
68400,19747
68500,19746
68600,19746
68700,19746
68800,19747
68900,20099
69000,19746
69100,20099
69200,20099
69300,20100
69400,19746
69500,20099
69600,20099
69700,20099
69800,20099
69900,20099
70000,20100
70100,20099
70200,27504
70300,20100
70400,20451
70500,20452
70600,20452
70700,20452
70800,20451
70900,20452
71000,20452
71100,20452
71200,20452
71300,20451
71400,20452
71500,20804
71600,20804
71700,20805
71800,20804
71900,20805
72000,20805
72100,20804
72200,20805
72300,20804
72400,20805
72500,21157
72600,20804
72700,21157
72800,21157
72900,21157
73000,21157
73100,20805
73200,21157
73300,21157
73400,21157
73500,21157
73600,21509
73700,21509
73800,21510
73900,21157
74000,21510
74100,21157
74200,21510
74300,21510
74400,21510
74500,21509
74600,25036
74700,21510
74800,21510
74900,21510
75000,21863
75100,21509
75200,21509
75300,21509
75400,21863
75500,21863
75600,21862
75700,21862
75800,21862
75900,21862
76000,21862
76100,21862
76200,21863
76300,21862
76400,22215
76500,21863
76600,21862
76700,22215
76800,22567
76900,23273
77000,22567
77100,22921
77200,25389
77300,22215
77400,22215
77500,22215
77600,22214
77700,22215
77800,22215
77900,22568
78000,22567
78100,22568
78200,22568
78300,22568
78400,22567
78500,22567
78600,22567
78700,22568
78800,22567
78900,25035
79000,22567
79100,22920
79200,22567
79300,22920
79400,22567
79500,22921
79600,22920
79700,22920
79800,22920
79900,23272
80000,22920
80100,22920
80200,22920
80300,23273
80400,22920
80500,23273
80600,22920
80700,23272
80800,23273
80900,23272
81000,23272
81100,23272
81200,23272
81300,23272
81400,23626
81500,23272
81600,23625
81700,23626
81800,23625
81900,23625
82000,23626
82100,23625
82200,23625
82300,23625
82400,23625
82500,23978
82600,23978
82700,23625
82800,23625
82900,23978
83000,28914
83100,24330
83200,23977
83300,23978
83400,23978
83500,23977
83600,23978
83700,23978
83800,23978
83900,24331
84000,24331
84100,24331
84200,23978
84300,24331
84400,24330
84500,24331
84600,24330
84700,24330
84800,24331
84900,24331
85000,24331
85100,24683
85200,24683
85300,24331
85400,24683
85500,24683
85600,24683
85700,24684
85800,24683
85900,24683
86000,24683
86100,24683
86200,25036
86300,24683
86400,25036
86500,25036
86600,24683
86700,25036
86800,25036
86900,25036
87000,26446
87100,25036
87200,25036
87300,25036
87400,25036
87500,25036
87600,25036
87700,25388
87800,25388
87900,25388
88000,25389
88100,25389
88200,25388
88300,25389
88400,25389
88500,25388
88600,25389
88700,25388
88800,25741
88900,25741
89000,25741
89100,25741
89200,25741
89300,25741
89400,25741
89500,25741
89600,25741
89700,25741
89800,25741
89900,25741
90000,26094
90100,25741
90200,26093
90300,26094
90400,25741
90500,26094
90600,26094
90700,41609
90800,26094
90900,26094
91000,26094
91100,26446
91200,26446
91300,26094
91400,26093
91500,26446
91600,26094
91700,26446
91800,26447
91900,26446
92000,26447
92100,26446
92200,65234
92300,27504
92400,26799
92500,26446
92600,26446
92700,26799
92800,26799
92900,26799
93000,26799
93100,26799
93200,26799
93300,26799
93400,26799
93500,26799
93600,27152
93700,26799
93800,27151
93900,27152
94000,27151
94100,27151
94200,28914
94300,27152
94400,27152
94500,27151
94600,27151
94700,27504
94800,27505
94900,27151
95000,27504
95100,27151
95200,27504
95300,27152
95400,27504
95500,27504
95600,27504
95700,27504
95800,27504
95900,27504
96000,78281
96100,27857
96200,27857
96300,27857
96400,27857
96500,27856
96600,27856
96700,27856
96800,28209
96900,27857
97000,27857
97100,27857
97200,27856
97300,28210
97400,27856
97500,31735
97600,28210
97700,28210
97800,28209
97900,28209
98000,28209
98100,28209
98200,28209
98300,28210
98400,28562
98500,28562
98600,28209
98700,28209
98800,28562
98900,28209
99000,28562
99100,28562
99200,28562
99300,28562
99400,28562
99500,28562
99600,28562
99700,28914
99800,28562
99900,28562
